epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.192,1.64996,3.48066,1.56473,0.54817,0.75146,0.6441,0.31034,1.80881,3.41339,1.54103,0.00012,0.00012,0.00012
2,110.861,1.54754,1.52855,1.38327,0.62424,0.75125,0.66341,0.32918,1.75005,3.73896,1.65342,0.00023426,0.00023426,0.00023426
3,146.786,1.44993,1.4924,1.37257,0.48124,0.57089,0.57025,0.31543,1.69517,2.96294,1.89481,0.0003208,0.0003208,0.0003208
4,195.636,1.34096,1.15558,1.34106,0.64204,0.72749,0.74034,0.32423,1.75448,1.42141,1.8748,0.00037962,0.00037962,0.00037962
5,225.792,1.37197,1.27142,1.3916,0.63129,0.5954,0.54662,0.24092,1.82339,1.78651,1.99443,0.00041072,0.00041072,0.00041072
6,264.992,1.43496,1.28416,1.33447,0.59523,0.61938,0.64614,0.3529,1.69922,1.9057,1.86674,0.0004141,0.0004141,0.0004141
7,311.07,1.31236,1.05919,1.28725,0.62567,0.65455,0.65943,0.31901,1.61645,2.79203,1.73366,0.00038976,0.00038976,0.00038976
8,352.242,1.11307,0.9376,1.17745,0.70445,0.66195,0.73432,0.38882,1.53853,1.59073,1.64135,0.0003377,0.0003377,0.0003377
9,388.774,1.14231,0.92935,1.21517,0.74914,0.62338,0.69253,0.37121,1.53748,1.31634,1.66333,0.00025792,0.00025792,0.00025792
10,433.797,1.07378,0.86159,1.18717,0.74949,0.64935,0.71583,0.38099,1.47126,1.20143,1.58291,0.00015042,0.00015042,0.00015042
